epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.64081,1.50632,2.68129,2.72827,1.25311,0,0.21593,0.12239,0.09298,0.04573,0.00682,0.77612,0.07299,0.03018,1.35582,2.63814,3.3601,1.20958,0,0.000653846,0.000653846,0.000653846
2,12.9056,1.36951,2.19428,1.91793,1.17183,0,0.79937,0.15462,0.35716,0.20898,0.79937,0.15462,0.37492,0.22006,1.37124,2.29322,2.78222,1.23654,0,0.00129437,0.00129437,0.00129437
3,17.1482,1.39311,2.15693,2.33959,1.18973,0,0.05584,0.46269,0.04157,0.02337,0.05571,0.46269,0.04117,0.02244,1.54253,2.62769,34.006,1.3339,0,0.00190849,0.00190849,0.00190849
4,21.2692,1.35445,2.07501,1.75454,1.19705,0,0.21702,0.46567,0.17014,0.09537,0.22557,0.4806,0.1795,0.09875,1.46191,2.27306,2.83472,1.35604,0,0.0018812,0.0018812,0.0018812
5,25.2716,1.31181,1.96734,1.57774,1.20459,0,0.54645,0.5403,0.52484,0.32432,0.54045,0.56871,0.53177,0.31704,1.34166,2.12443,1.85762,1.22813,0,0.0018416,0.0018416,0.0018416
6,29.3662,1.36606,1.88556,1.53224,1.19577,0,0.04171,0.11642,0.0214,0.01252,0.04064,0.11343,0.02009,0.01014,1.72574,3.46027,7.0208,1.47446,0,0.001802,0.001802,0.001802
7,33.5419,1.30396,1.95589,1.46223,1.1776,0,0.62081,0.59403,0.61285,0.36854,0.62499,0.59701,0.61828,0.34244,1.41421,2.34416,1.60801,1.25857,0,0.0017624,0.0017624,0.0017624
8,37.5879,1.28847,1.90565,1.4123,1.16348,0,0.65166,0.56402,0.62143,0.40433,0.58479,0.62642,0.6241,0.39571,1.23441,1.94527,1.36791,1.14467,0,0.0017228,0.0017228,0.0017228
9,41.6625,1.22899,1.87163,1.30869,1.12873,0,0.66811,0.62495,0.66854,0.44244,0.66136,0.61796,0.6645,0.41975,1.15316,1.89859,1.31009,1.11279,0,0.0016832,0.0016832,0.0016832
10,45.824,1.28206,1.93583,1.34285,1.14058,0,0.56237,0.61194,0.57898,0.37976,0.59416,0.5725,0.59067,0.36908,1.26948,2.09146,1.42905,1.16319,0,0.0016436,0.0016436,0.0016436
11,50.0087,1.25269,1.90679,1.31061,1.15018,0,0.56744,0.64179,0.62014,0.41222,0.60052,0.60896,0.62056,0.40909,1.18496,1.94341,1.41862,1.12511,0,0.001604,0.001604,0.001604
12,54.3119,1.20013,1.79943,1.23539,1.12834,0,0.68628,0.62985,0.66234,0.46383,0.67529,0.62687,0.65864,0.42325,1.11769,1.88255,1.29136,1.08909,0,0.0015644,0.0015644,0.0015644
13,58.5954,1.17904,1.78776,1.16912,1.09712,0,0.69577,0.5194,0.565,0.3841,0.65997,0.57359,0.5839,0.3703,1.20931,1.95441,1.44995,1.14449,0,0.0015248,0.0015248,0.0015248
14,62.8071,1.1641,1.76833,1.14717,1.10387,0,0.69338,0.66155,0.70091,0.49002,0.69964,0.66752,0.69087,0.4513,1.10815,1.86887,1.17884,1.10091,0,0.0014852,0.0014852,0.0014852
15,66.9532,1.12322,1.75683,1.11939,1.09217,0,0.68864,0.67463,0.7042,0.46568,0.6951,0.68052,0.70636,0.42052,1.20289,1.9663,1.20365,1.13474,0,0.0014456,0.0014456,0.0014456
16,71.2024,1.14139,1.81915,1.12103,1.08637,0,0.65007,0.68762,0.69284,0.45246,0.65515,0.68955,0.68906,0.42068,1.15103,1.79495,1.19711,1.09876,0,0.001406,0.001406,0.001406
17,75.3067,1.13049,1.75599,1.3848,1.05065,0,0.69246,0.65869,0.70667,0.4775,0.68138,0.68307,0.69412,0.45013,1.1246,1.80991,1.19028,1.11251,0,0.0013664,0.0013664,0.0013664
18,79.4691,1.11271,1.77618,1.12464,1.07457,0,0.76591,0.61493,0.72663,0.49094,0.67262,0.70448,0.72541,0.45549,1.10121,1.79809,1.19533,1.08415,0,0.0013268,0.0013268,0.0013268
19,83.5878,1.1206,1.67193,1.09913,1.07356,0,0.66826,0.67761,0.69198,0.45738,0.68745,0.68657,0.68785,0.41645,1.16425,1.86943,1.21689,1.11302,0,0.0012872,0.0012872,0.0012872
20,87.7094,1.09208,1.7157,1.03252,1.05667,0,0.74046,0.67281,0.72331,0.5232,0.73718,0.66982,0.72196,0.48533,1.04614,1.75178,1.10408,1.07309,0,0.0012476,0.0012476,0.0012476
21,91.8052,1.05618,1.64559,1.02774,1.05574,0,0.73691,0.66887,0.734,0.48021,0.74029,0.66369,0.72883,0.4489,1.17864,1.89066,1.14337,1.13436,0,0.001208,0.001208,0.001208
22,95.8914,1.06121,1.61101,1.01944,1.06421,0,0.68059,0.71045,0.72735,0.49223,0.68244,0.71642,0.72197,0.4497,1.11743,1.77849,1.10266,1.08473,0,0.0011684,0.0011684,0.0011684
23,99.9522,1.06713,1.68682,1.02569,1.05162,0,0.70003,0.58507,0.64486,0.4554,0.71694,0.6,0.65187,0.43469,1.09702,1.75545,1.22511,1.09788,0,0.0011288,0.0011288,0.0011288
24,104.113,1.0617,1.6468,1.00917,1.05404,0,0.72287,0.69851,0.7379,0.51402,0.72715,0.70006,0.74572,0.47892,1.0811,1.75947,1.10829,1.08843,0,0.0010892,0.0010892,0.0010892
25,108.329,1.06336,1.6634,0.99849,1.05005,0,0.72706,0.67164,0.71938,0.49597,0.73154,0.65072,0.7187,0.46729,1.11831,1.86745,1.14054,1.11303,0,0.0010496,0.0010496,0.0010496
26,112.493,1.067,1.61332,1.01816,1.06216,0,0.80145,0.62656,0.74243,0.525,0.72058,0.67761,0.73415,0.48178,1.03795,1.76994,1.08334,1.0743,0,0.00101,0.00101,0.00101
27,116.525,1.02355,1.54763,0.95163,1.03798,0,0.75346,0.68422,0.73622,0.52244,0.75238,0.68932,0.73616,0.47022,1.01064,1.71552,1.05589,1.06761,0,0.0009704,0.0009704,0.0009704
28,120.636,1.02587,1.63675,0.97704,1.04742,0,0.78319,0.69851,0.74959,0.52309,0.78278,0.70149,0.7493,0.47854,1.02445,1.73774,1.05186,1.07291,0,0.0009308,0.0009308,0.0009308
29,124.75,1.00345,1.59339,0.89331,1.04538,0,0.7529,0.72537,0.76677,0.55607,0.76583,0.73731,0.76457,0.51122,1.01807,1.68941,0.99069,1.08865,0,0.0008912,0.0008912,0.0008912
30,128.895,1.03544,1.58736,0.93011,1.04758,0,0.67012,0.70746,0.7148,0.50985,0.66591,0.72836,0.71896,0.49676,1.06056,1.69036,1.13689,1.07117,0,0.0008516,0.0008516,0.0008516
31,133.042,1.01533,1.57066,0.90362,1.0314,0,0.72724,0.71343,0.75212,0.52608,0.71033,0.72239,0.7503,0.48413,1.02779,1.66477,1.05044,1.07551,0,0.000812,0.000812,0.000812
32,137.249,1.03133,1.55883,0.9164,1.05681,0,0.72358,0.68955,0.71187,0.50671,0.72242,0.68955,0.71015,0.46902,1.02102,1.74158,1.08936,1.0707,0,0.0007724,0.0007724,0.0007724
33,141.415,0.95891,1.55149,0.87142,1.02048,0,0.73262,0.69552,0.7524,0.51923,0.73965,0.69552,0.75293,0.48347,1.01712,1.71454,1.07981,1.06587,0,0.0007328,0.0007328,0.0007328
34,145.604,0.96146,1.51914,0.8881,1.01272,0,0.72742,0.70897,0.74111,0.53187,0.72885,0.72239,0.75031,0.49739,1.01286,1.69177,1.03343,1.06131,0,0.0006932,0.0006932,0.0006932
35,149.778,0.97616,1.51935,0.8838,1.01883,0,0.71492,0.75224,0.75808,0.52246,0.71229,0.75224,0.75653,0.47307,1.07334,1.75234,1.04432,1.09375,0,0.0006536,0.0006536,0.0006536
36,153.902,0.94309,1.48293,0.87453,0.99892,0,0.7406,0.74146,0.76485,0.54119,0.7455,0.74325,0.75301,0.49513,1.01672,1.70444,1.00662,1.07015,0,0.000614,0.000614,0.000614
37,158.136,0.93751,1.44891,0.85534,1.00174,0,0.75954,0.71642,0.76359,0.55137,0.7587,0.71642,0.76281,0.50627,0.9753,1.71623,1.03305,1.05452,0,0.0005744,0.0005744,0.0005744
38,162.308,0.94099,1.52496,0.83803,1.0006,0,0.74344,0.70064,0.74116,0.53344,0.72787,0.72658,0.73532,0.48941,1.02391,1.76777,1.01927,1.07917,0,0.0005348,0.0005348,0.0005348
39,166.465,0.97071,1.53731,0.87083,1.0171,0,0.70309,0.71045,0.74199,0.53999,0.709,0.71642,0.73305,0.48843,0.97907,1.74096,1.04521,1.05254,0,0.0004952,0.0004952,0.0004952
40,170.624,0.91883,1.48947,0.82928,1.00063,0,0.79286,0.68554,0.76914,0.56427,0.7854,0.68827,0.76173,0.5148,0.93331,1.65053,1.00068,1.02748,0,0.0004556,0.0004556,0.0004556
41,175.541,0.89014,1.41983,0.81969,0.99614,0,0.75423,0.71343,0.77395,0.56632,0.77046,0.72836,0.7721,0.52755,0.95988,1.71174,0.97333,1.04578,0,0.000416,0.000416,0.000416
42,179.743,0.89718,1.47406,0.80275,0.99483,0,0.79197,0.73869,0.77073,0.57333,0.79206,0.73731,0.7664,0.52641,0.95853,1.71598,0.99179,1.04989,0,0.0003764,0.0003764,0.0003764
43,183.921,0.891,1.50901,0.81029,0.98402,0,0.79565,0.69552,0.7775,0.55999,0.78405,0.71529,0.78071,0.50538,0.99135,1.7205,0.96314,1.05502,0,0.0003368,0.0003368,0.0003368
44,188.036,0.85468,1.41984,0.76765,0.954,0,0.76582,0.75522,0.78439,0.57612,0.76492,0.75763,0.77723,0.52624,0.93233,1.65944,0.9542,1.03982,0,0.0002972,0.0002972,0.0002972
45,192.203,0.84878,1.4094,0.75416,0.97485,0,0.7727,0.75094,0.79875,0.57295,0.7727,0.75094,0.78899,0.52496,0.99961,1.69853,0.93583,1.06797,0,0.0002576,0.0002576,0.0002576
46,196.386,0.80859,1.37292,0.72285,0.96034,0,0.77861,0.72439,0.77566,0.57347,0.75765,0.73725,0.76559,0.52986,0.93787,1.66025,0.972,1.04973,0,0.000218,0.000218,0.000218
47,200.602,0.87231,1.42262,0.76206,0.98757,0,0.78704,0.73433,0.78214,0.57894,0.79088,0.73731,0.7815,0.52721,0.94799,1.66999,0.96433,1.05122,0,0.0001784,0.0001784,0.0001784
48,204.84,0.82627,1.40009,0.72112,0.96794,0,0.7715,0.73731,0.79419,0.58695,0.77463,0.7403,0.78832,0.52819,0.945,1.67695,0.9438,1.05397,0,0.0001388,0.0001388,0.0001388
49,209.018,0.81755,1.40402,0.73227,0.96448,0,0.80108,0.69724,0.78899,0.58696,0.80446,0.69999,0.78382,0.53622,0.9356,1.67204,0.95735,1.05093,0,9.92e-05,9.92e-05,9.92e-05
50,213.225,0.80464,1.32203,0.72331,0.94245,0,0.74394,0.76418,0.7911,0.58966,0.74406,0.76367,0.7828,0.53684,0.9233,1.64611,0.94078,1.04762,0,5.96e-05,5.96e-05,5.96e-05
